year,Oman,Saudi Arabia,UAE,Qatar,Kuwait,Bahrain
2010,5.0,5.0,1.6,16.7,2.5,4.3
2011,4.7,10.0,6.9,12.1,9.6,2.1
2012,7.1,5.4,7.0,4.9,6.6,3.7
2013,4.2,2.7,4.3,6.1,1.1,5.5
2014,2.8,3.6,3.1,4.0,0.5,4.4
2015,4.7,4.1,5.1,4.7,0.6,2.9
2016,5.0,1.7,3.0,2.5,2.5,3.5
2017,-0.9,-0.7,2.4,-1.5,-3.5,3.8
2018,1.8,2.5,1.2,1.5,1.2,2.2
2019,-0.8,0.3,1.3,1.0,-0.6,3.8
2020,-6.4,-4.1,-6.1,-3.6,-8.9,-4.9
2021,3.1,3.9,4.4,1.5,1.3,2.6
2022,4.3,8.7,7.9,4.8,8.9,4.9
2023,1.1,-0.8,3.4,1.4,-2.7,2.5
2024,2.0,2.6,4.2,2.1,3.1,3.3
