year,Oman,Saudi Arabia,UAE,Qatar,Kuwait,Bahrain
2010,62.4,41.0,68.0,69.0,51.4,53.0
2011,66.5,49.0,75.9,77.0,63.4,77.0
2012,70.2,54.0,78.0,85.3,72.6,88.0
2013,73.8,60.5,85.0,88.6,75.5,90.0
2014,77.2,66.0,88.0,91.3,78.4,93.5
2015,80.3,69.9,90.6,92.0,81.6,96.5
2016,82.0,74.2,91.2,93.5,82.0,97.9
2017,84.3,80.6,92.0,94.3,85.7,98.0
2018,86.2,82.1,94.8,97.4,100.0,99.0
2019,88.2,89.9,99.0,99.6,99.6,99.0
2020,91.0,95.7,99.0,99.7,99.6,100.0
2021,92.5,97.9,99.0,99.7,99.7,100.0
2022,93.8,98.6,99.0,99.7,99.7,100.0
2023,95.0,99.0,99.0,99.8,99.8,100.0
2024,96.0,99.2,99.0,99.8,99.8,100.0
